featureAndLoc	BNLX1_MaleLiver	BNLX2_MaleLiver	BNLX3_MaleLiver	SHRH1_MaleLiver	SHRH5_MaleLiver
mir_chrX_33543|chrX:118273405-118273468	0	1	2	1	0
mirlet7e-5p,mir3596c-5p,mirlet7a-1-5p|chr1:60624088-60624146	13.98	114	30	88	33
mir690-3p|chr1:24569139-24569161	0.46	1.25	1.17	0.07	1.28
mir_chr1_1359|chr1:220934792-220934873	0	0	0	0	0
mir362-5p|chrX:16902290-16902329	41	112	148	143	99
mir3071-3p,mir136-3p|chr6:142878937-142878978	51.99	335.98	186	82.96	176
mir_chr17_20174|chr17:43711377-43711429	4	4	7	6	5
mir_chr17_13399|chr17:59620670-59620726	0	0	0	7.49	6.46
mir_chr12_7989|chr12:52068733-52068789	0	0	0	1	0
mir106a-3p,mir17-2-3p,mir17a-2-3p,mir20b-3p|chrX:140167737-140167778	1	7	8	22.98	23
mir139-5p|chr1:172779843-172779882	269.45	2157.8	569	1129.71	383.4
mir340-3p,rno-mir-340-3p|chr10:35339351-35339400	155.49	336.34	543	527.5	552.52
mir_chr19_15255|chr19:38399157-38399246	0	0	0.99	0	0
mir152-3p|chr10:84512274-84512316	4636.86	13362.24	14120.9	17121.44	11416.05
mir_chr10_6277|chr10:89927796-89927886	0	0	0	0	0
mir152-5p|chr10:84512231-84512273	260	574	890	751	1025
mir_chr2_17981|chr2:210108648-210108704	1	3.5	0	2.5	1.41
mir3084-2-5p,mir3084-5p|chr6:101090877-101090907	1	2	0	2	0
mir_chr1_2746|chr1:118344445-118344501	0	1.19	2.35	0.35	1.85
mir667-5p|chr6:143031907-143031953	0	0.42	0	0	0
mir3589-3p,mir505-3p|chrX:143545577-143545633	147.54	1192.48	372.55	1661.66	691.93
mir_chr14_10018|chr14:60346637-60346696	1	1	1	1	0
mir100-1-5p,mir100-5p,mir100-2-5p,mir125b2-5p|chr8:44222148-44222189	1565.25	3308.87	3334.59	4454.07	2171.26
mir_chr3_20831|chr3:56195374-56195446	10.88	67.85	43.99	689.79	110.78
rno-mir-466c-5p|chr17:73745358-73745397	798.71	1645.24	2263.97	1017.38	1859.06
mir_chr13_8516|chr13:26378166-26378225	0	0	0	1.1	0.04
mir322-3p|chrX:153211232-153211279	359.02	986.21	1121.37	1303.08	802.46
mir_chr5_25957|chr5:163351175-163351237	0	0	1	2	2
mir_chr14_10276|chr14:112955631-112955692	1	1	2	1	2.75
mir_chr4_22180|chr4:139578295-139578354	0	0	0	0	0
mir379-3p|chr6:143019913-143019956	4	10.97	4.01	8.35	6.03
mir199-1a-5p,mir199a-5p,mir199a-1-5p,mir199a-2-5p,mir199-2a-5p,mir199b-5p,mir199a-3-5p,mir199-3-5p|chr3:16697066-16697114	163.51	510.24	485.57	434.33	718.37
mirlet7a-1-5p,mirlet7c-1-5p,mirlet7c-2-5p,mirlet7c-5p|chr11:19708137-19708191	4165.75	5764.38	9983.36	12727.41	3497.83
mir144-3p|chr10:66340720-66340763	917.93	3139.94	4025.88	1507.86	4834.74
mir_chr8_29942|chr8:12523725-12523787	0	0	0	0	0
mir384-5p|chrX:77108544-77108588	32	136	43	68	17
mir149-5p|chr9:99682350-99682390	5	61.97	8	33.58	11
mir28-5p|chr11:81345174-81345217	4710.59	13915.61	16139.53	35160.83	18949.87
mir30c-1-3p|chr5:143494756-143494800	756.76	1331.29	2948.67	1677.38	1424.67
mir_chr15_12000|chr15:111340350-111340422	0	5	2.71	0.98	0
mir_chr1_3909|chr1:267922853-267922919	16.96	58.56	69	110	134
mir_chr1_2805|chr1:129273868-129273917	0	0	3	0	0
mir_chr16_12699|chr16:48442707-48442762	0.33	0	0.67	1.33	0
mir_chr17_13056|chr17:19783972-19784035	0	7	6	21	16
mir_chr4_23324|chr4:147671239-147671298	0	2	4	1.99	1
mirlet7g-3p,mirlet7j-3p|chr8:114237884-114237932	123.28	405.91	368.76	207.35	303.48
mir_chr7_29584|chr7:116817728-116817788	0	2	5	4.99	3
rno-mir-6216-5p|chr3:51470070-51470109	12	42.19	12	128.64	43.96
mir219c-5p,mir219-1-5p,mir219a-1-5p|chr20:5895543-5895598	97.88	420.67	465.75	387.43	866.72
mir107b-5p,mir103-2-5p,mir107-5p|chr1:260347553-260347597	6.99	41.03	22.99	31.93	28.98
mir450a-5p,mir450-1-5p|chrX:152778683-152778728	3360.18	13546.17	18692.45	7756.41	11265.03
mir296-5p|chr3:178408826-178408865	0	2	1	0	0
mir137-5p,mir137-1-5p,mir137-2-5p,mir137-3-5p|chr2:239707762-239707813	0	0	0	0	0
mir363-3p|chrX:140166944-140166987	152	357.98	499.99	1434.97	918.66
mir_chr5_26096|chr5:176564752-176564818	0	0	0	2	0
mir_chr4_22117|chr4:64934869-64934929	13.08	11.84	22.99	22.08	32.98
mir_chr4_23293|chr4:144696438-144696503	0	0	0	0	0
mir690-3p|chr5:132456494-132456517	0	0	0.73	1.07	0.25
mir690-3p|chr11:75113326-75113349	0	0	0.73	1.07	0.25
mir_chr12_8464|chr12:49758234-49758301	0	0	0	0	0
mir3577-3p|chr10:103945202-103945258	24.76	275.11	33.25	213.43	97.48
mir488-3p|chr13:81112994-81113046	48.81	214.38	198.41	141.89	92.86
mir293-5p|chr1:63523504-63523540	152	448.99	844	549.98	865
mir690-3p|chr10:57639926-57639948	0.46	1.25	1.17	0.07	1.28
mir_chr1_1140|chr1:192291168-192291254	0	0	0	1.22	1
mir_chr4_23656|chr4:217540298-217540353	0	0	2.36	0	0
mir_chr6_39454|chr6:35404469-35404526	0.5	2.5	2	4.5	3
mir_chr18_14648|chr18:79987042-79987105	0	0	1	1	0
mir_chr16_18799|chr16:60550841-60550897	3.59	3.92	9.98	0.88	1.98
mir543-5p|chr6:143028830-143028870	0	0	0	0	0
mir_chr9_33010|chr9:99833911-99833981	0	8	2	7	0
mir_chr10_5789|chr10:55320802-55320860	0	0	0	0	1
mir185-5p|chr11:89906639-89906679	21.28	246.71	45.86	87.01	83.12
mir544-5p|chr6:143041525-143041564	0	0	0	0	0
mir690-5p|chrX:37045486-37045508	0	0	0	0	0
mir_chr9_31652|chr9:770250-770309	0	0	0	1.5	1
mir_chrX_33839|chrX:21923945-21924001	0	5.46	0.97	1.66	0
mir509-5p,rno-mir-509-5p|chr1:151036407-151036449	0	5	3	5	2
mir_chr1_1914|chr1:273937163-273937228	0	0	7.39	8	13.98
mir_chr5_24321|chr5:78343649-78343699	0	0	0	1	2
mir_chrX_33926|chrX:53873560-53873623	0.33	0	0	1.33	1
mir_chr5_24477|chr5:121857861-121857923	7	6.99	13	43.97	22.97
mir495-5p|chr6:143030625-143030665	0	0	0	0	0
mir99-1-3p,mir99-2-3p,mir99a-3p,mir99-3p|chr11:19707463-19707505	1045.77	3257.01	4526.08	2608.88	4281.26
mir_chr7_28162|chr7:11843001-11843077	0	0	0	4	0.97
mir3596a-3p,mirlet7-3p,mirlet7a-3p,mirlet7a-2-3p,mirlet7a-4-3p|chr8:44228455-44228512	9595.75	10207.04	22626.29	17615.93	8759.43
mir218a-3p,mir218a-1-3p,mir218-2-3p,mir218a-2-3p|chr10:20303212-20303267	0	3.84	1	0	0
mir186-5p|chr2:282781959-282782002	21553.64	74411.6	94100.76	152405.54	84623.26
rno-mir-466b-2-3p|chr17:73500718-73500759	2.62	9.77	7.56	10.43	6.92
mir547-5p|chr1:151058308-151058348	3.1	8	15.84	23.79	37.43
mir690-5p|chr5:49731584-49731604	1	1	1	2	1
mir18b-5p|chrX:140167614-140167655	5.58	15.92	17.65	29.64	39.06
mir298-5p|chr3:178409281-178409322	21.61	63	49	81	24.14
mir_chr2_17313|chr2:41939942-41940016	0	0	0	1	1
mir412-5p|chr6:143055921-143055961	2	10	2	6	2
mir_chr7_29603|chr7:117299008-117299063	1.99	8.96	5.19	11.62	8.22
mir_chr13_9145|chr13:30376813-30376869	1	0	2	4	3.94
mir1843-5p,mir1843a-5p,rno-mir-1843-5p|chr6:111742620-111742665	2282.46	6734.63	8255.2	6335.26	6629
mir181b-2-3p,mir181b2-3p|chr3:28375915-28375959	2.37	10	7	71	76
mir30c-3p,mir30c2-3p,mir30c-2-3p|chr9:28397605-28397647	706.49	1389.83	2286.56	6205.55	2281.19
mir_chr9_45797|chr9:10055042-10055114	0	6.1	2	5.98	4.98
mir455-5p,mir455b-5p|chr5:83211449-83211493	1129.15	3101.59	2638.2	1964.97	2243.42
mir3547-3p|chr10:14420723-14420778	0	0	0	0.99	0
mir497b-5p,mir497-5p|chr10:56589166-56589228	12.75	70.96	83.81	19.96	77.4
mir_chr13_9059|chr13:114291701-114291755	0	1	1	1	1
mir223-5p|chrX:66205957-66206012	28	47	62	99.77	112
mir_chr2_18175|chr2:228534695-228534755	3	4	2	4	16
mir_chr18_14595|chr18:70273153-70273215	0	2	0	0	0
mir703-5p|chr3:156526349-156526404	1.09	10	7.22	5.02	1.16
mir_chr3_19655|chr3:65855047-65855098	0	0.8	0	5.93	1.79
mir92b-3p|chr2:207955679-207955722	57.08	1116.02	134.55	163.15	89.77
mir3555-3p,mir191-3p|chr8:116698850-116698910	41459.16	180450.87	102894.43	217709.33	77257.45
mir30e-3p,mir30f-3p,mir30e-2-3p,mir30a-3p|chr5:143497751-143497797	4837.05	14125.2	16281.8	14153.76	13106.55
mir_chr7_28637|chr7:114258917-114258974	0	0	0	2	0
mir3589-5p,mir505-5p|chrX:143545633-143545689	24	72	26	64	24
mir133c-3p,mir133-3p,mir133-2-3p,mir133a-2-3p|chr3:181337024-181337076	19	181	86	198	111
mir6318-3p,rno-mir-6318-3p|chr19:48128346-48128400	0	2	3.46	17.99	8.99
rno-mir-1306-5p,mir1306-5p|chr11:89951569-89951609	0	10	1	3	6
mir_chr8_30304|chr8:62151732-62151788	0	0	0	2.98	2
mir_chr3_30419|chr3:66503605-66503665	0	0	1	0	0
mir_chr10_9278|chr10:90770518-90770580	0	1	0	0	0
mir_chr7_41253|chr7:117500553-117500611	3	0	0.99	3	2.99
mir16-3p,mir16-2-3p,rno-mir-16-3p|chr2:184967237-184967284	11	81	62	67.99	82.99
mir148b-5p|chr7:142692725-142692773	554.03	1194	2091.99	1378	2008
mir_chr7_29027|chr7:12625904-12625962	1	7	4	0	1
rno-mir-3084a-3p|chr19:54235986-54236020	1	33.98	27.59	30.66	23.99
mir_chr17_14071|chr17:73463617-73463680	78.44	420.16	268.67	195.26	306.98
mir204-2-5p,mir204-5p|chr1:247690189-247690244	24.59	461.24	24	423.01	119
mir339-3p|chr12:19355912-19355960	1357.38	3185.59	3405.89	4664.19	4217.48
mir592-5p|chr4:54925400-54925448	0	7	0	1	3
mir_chr12_8256|chr12:23741404-23741461	1	3.51	4.5	6.5	6.51
mir3559-5p|chrX:76261665-76261722	2282.65	4976.53	5741.89	7970.36	7580.23
mir214a-5p,mir3120-5p,mir214-5p|chr13:85024875-85024935	76.08	345.88	104.46	312.69	170.68
mir671-5p|chr4:7121303-7121352	29.75	125.86	84.01	70.09	112.7
mir673-3p|chr6:142853506-142853551	5	17	5	17	5
mir463-5p|chrX:151270968-151271008	0	5	15	0	0
mir30c-5p,mir30c2-5p,mir30c-2-5p|chr9:28397563-28397605	5965.21	181745.74	27309.61	46815.69	56172.58
mir_chr1_2764|chr1:122349092-122349154	0	0	0	0	0
mir_chr2_17993|chr2:215694062-215694130	0	0	0	2	1
mir_chr2_17355|chr2:48239619-48239679	2	8	8	35	10
mir19a-5p|chr15:103641183-103641227	55.98	182.98	317	63.64	146
mir_chr7_29162|chr7:34431913-34431971	1	4	5	9	2
mir_chr2_18268|chr2:245442314-245442385	2.92	2	1.09	3.98	3
mir_chr1_669|chr1:102420281-102420343	0	0	0	0	0
mir_chr1_2809|chr1:129758524-129758590	1	1	1	3	0
mir690-5p|chr13:57041199-57041222	0	0	1.49	0	0.04
mir_chr1_1982|chr1:284388755-284388818	0	0	0	0	0
mir_chr4_23603|chr4:210098596-210098653	0	1	1	0	1
mir672-3p|chrX:75784647-75784697	0	1.99	1	3	2
mir_chr1_4003|chr1:285416660-285416716	1	0	1	1	3
mir_chr8_30397|chr8:73392794-73392854	1	0	0	2	3
mir_chr9_31781|chr9:14037587-14037648	0	2	0	1	0
mir325-5p|chrX:77141057-77141106	1	20	3.05	7	0
mir_chr20_19051|chr20:8596834-8596896	1	1	1	3	3
mir_chr5_25089|chr5:17226423-17226484	0	0	0	0	0
mir374-5p,mir374b-5p|chrX:75245651-75245691	853	2218	2214.99	2708.98	1249
mir_chr19_15334|chr19:50030089-50030168	0	0	0	0	0
mir_chr1_1829|chr1:267973532-267973584	0	0	0	1	1
mir3586-3p|chr7:114421166-114421226	18365.96	49488.55	50533.92	137688.32	54407.55
mir8094-5p|chr20:6888640-6888695	1	2	2	2	5.99
mir_chr4_21986|chr4:32387151-32387212	0	2	1	4	2.99
mir7b-3p|chr9:9803904-9803959	0	0	0	0	0
mir3593-5p|chr6:86193893-86193938	0	1	1.99	0	1
mir_chr10_4993|chr10:86404856-86404918	0	1	0	1	3
mir_chr1_1682|chr1:246264314-246264373	1	2.63	11	0	14.01
mir_chr9_32165|chr9:73547631-73547697	1.71	2	1	1.05	3.23
mir411-5p|chr6:143021014-143021062	320.94	1713.12	726.09	470.6	815.96
mir138-3p,mir138-2-3p|chr19:11127477-11127519	0	1	1	4	0
mir_chr5_25341|chr5:76370149-76370210	0.5	0	0.5	3.5	1
mir_chr16_12157|chr16:19859430-19859488	0	0	0	1	1
mir378b-5p,rno-mir-378b-5p|chr5:10415487-10415529	0	1.35	0	0	0
mir_chr3_30956|chr3:130162356-130162423	0	5.98	7.89	3.45	2
mir103-3p,mir107b-3p,mir103-1-3p,mir103-2-3p|chr10:20480393-20480436	168.65	464.88	327.61	954.04	269.71
mir_chr6_40329|chr6:138963343-138963425	293.08	1000.46	753.73	958.5	904.18
mir497b-3p,mir497-3p|chr10:56589103-56589165	2381.95	14873.83	7604	18886.84	11118.79
mir_chrX_33663|chrX:152776729-152776794	0.33	0.33	0	0	0.33
mir450-2-3p|chrX:152778595-152778629	0.5	12.5	1	5.98	1
mir6990-5p|chr1:229162794-229162839	0	0	0	3	0
mir_chr5_23999|chr5:13684284-13684330	0	0	2	4	1
mir3093-5p|chr2:206985385-206985428	0	1	0	0	0
mir802-3p|chr11:37163162-37163210	5272.55	13748.49	20726.71	9720.8	20483.83
mir429-3p|chr5:176962352-176962396	3201.64	8609.41	8845.03	7521.32	6429.84
mir_chr10_5601|chr10:35684540-35684621	0	0	1	0	0
mir_chr7_28835|chr7:137322591-137322654	1	0	0	4	1
mir_chr6_28001|chr6:144695726-144695799	0	0	0	1	0
mir_chrX_33319|chrX:59485069-59485158	0	0	0	0	0
mir181d-3p|chr19:36267150-36267191	0	0	0	0	0
mir_chr11_7450|chr11:89838474-89838533	2	0	5	2	2
mir344i-3p,rno-mir-344i-3p,mir344f-3p|chr1:123634943-123634992	0.97	0	0	0	0
mir3106-5p|chr16:78185911-78185952	0	0	0	0	0
mir676-3p|chrX:71080172-71080216	1058.93	3263.52	2748.95	4877.93	2860.2
mir670-3p|chr3:89858912-89858959	0	0	0	1	0
mir425-5p|chr8:116699321-116699363	720.11	4210.9	2227	3724.92	2806.14
mir668-3p|chr6:143047525-143047578	6	30	3	19	3
mir27b-5p,mir27d-5p|chr17:816273-816321	261	585	859.99	1220.94	561.03
mir379-5p|chr6:143019870-143019913	6.75	20.4	3.11	3.98	2.97
mir690-3p|chr17:74535867-74535890	0	0	0.73	1.07	0.25
mir_chr13_13777|chr13:89472202-89472251	0	1.85	73.82	4.52	0.81
mir3563-5p,mir299a-5p,mir299b-5p,mir299-5p|chr6:143021524-143021583	1	5.96	8.93	1.09	8
mir_chr9_31891|chr9:31712899-31712965	0.44	7.7	20.54	7.81	35.42
mir_chr13_9489|chr13:94076528-94076594	0	0.82	0	0	0
mir_chr5_24917|chr5:163734248-163734314	0	0	0	0	0
mir_chrX_33205|chrX:27745254-27745325	0	0	0	0	0
mir598-5p|chr15:50816187-50816227	0	0	0	0	0
mir129b-3p,mir129-1-3p,mir129-2-3p|chr3:89837991-89838039	0	51.08	0	5.03	0
mir150-5p|chr1:102181483-102181525	321	6472.93	530	4109.65	2171.98
mir758-3p|chr6:143023707-143023747	3	36	3	16	3
rno-mir-341-3p|chr6:142895457-142895505	87.96	320.96	117.93	205.95	81.37
mir21-3p,mir21a-3p|chr10:76197126-76197172	4049.68	3133.64	7635.59	11591.96	19572.07
mir_chrX_33866|chrX:29946015-29946073	0	0	0	1	0.99
mir_chr1_800|chr1:135740708-135740767	0	0	0	0	0
mir673-5p|chr6:142853460-142853505	1	0	0	0	3
mir28-3p|chr11:81345217-81345260	14242.28	75762.55	42366.49	69137.09	42681.11
mir543-3p|chr6:143028870-143028910	0	1	1	1	0
mir_chr13_12927|chr13:99395112-99395171	3	4	4	11	2
mir381-5p|chr6:143038942-143038996	0	0	0	0	0
mir5132-3p|chr1:152464666-152464701	0	4	2.99	0	0
mir_chr7_29512|chr7:99525187-99525249	2	0	3.98	1	5
rno-mir-3072-3p,mir3072-3p|chr6:143061207-143061262	0	0	0	0	0
mir690-3p|chr16:87990648-87990671	0	0	0.73	1.07	0.25
mir_chr16_12185|chr16:20690867-20690952	0	0	0	1	1
mir_chr10_5923|chr10:62319740-62319800	0	0	0.5	1.5	9.5
mir_chr20_18777|chr20:33869516-33869563	5.96	20.97	46.99	35.97	24.96
mir_chr3_20281|chr3:158574417-158574485	0	0	0	0	1
mir3585-5p|chr1:151063643-151063702	168	519	618	767.98	1206
mir_chr9_31650|chr9:688842-688901	0	0	0	1.5	1
mir181a-2-3p,mir181a2-3p|chr3:28374827-28374885	17	183.93	56.33	138.96	66.94
mirlet7a-3-5p,mir98-5p|chrX:21867934-21867988	3722.53	4642.14	13063.75	12071.18	8112.45
mir_chr2_17193|chr2:270386847-270386907	1	0	1	6	0.86
mir_chr3_21264|chr3:108070168-108070228	0.92	14.99	3	7	3
mir377-3p|chr6:143053083-143053121	2.97	1	2.99	7	6.99
mir_chr11_7105|chr11:56734029-56734095	0	0	0	0	1
mir3561-5p|chr7:26557142-26557196	4	3	8	6	4
mir692-1-3p,mir692-2-3p,mir692-3-3p|chr10:45578216-45578263	0.17	2.27	3.5	1.67	1
mir_chr13_8617|chr13:53990399-53990448	2	1	1	0	0
mir7b-5p|chr9:9803959-9804014	0.88	12.15	0	0	0
mir411-3p|chr6:143021062-143021110	1	31.02	5.74	4.65	3.96
mir300-3p|chr6:143036545-143036590	49.63	302.07	85.01	238.23	60.24
mir146b-3p|chr1:273520470-273520523	3.99	5	13.81	5.88	0
mir_chr9_32955|chr9:92759840-92759898	0	2	1	6	1.99
mir_chr17_14089|chr17:73483260-73483333	0	149.84	11.35	55.24	12.5
mir_chr3_20701|chr3:19414478-19414559	12.96	32.45	18.28	55.81	31
mir3544-3p,mir337-3p|chr6:142868095-142868145	2	6.77	4	16	3
mir3553-5p,mir183-5p,mir183-1-5p,mir183-2-5p|chr4:57225424-57225479	969	1414.24	2091	1972.66	1022.85
mir376c-3p|chr6:143034837-143034879	1	15.59	4.14	2	12.82
mir_chr12_8133|chr12:13172359-13172433	1.99	7.87	10.97	10.96	13.92
mir_chr17_14073|chr17:73465213-73465272	235.88	357.48	546.4	578.74	551.16
mir_chr2_25600|chr2:100267714-100267774	8	3.11	7.25	9.03	17.56
mir148b-3p|chr7:142692774-142692822	12943.37	30411.94	44959.49	43203.76	30687.07
rno-mir-679-5p,mir679-5p,mir1193-5p|chr6:143026734-143026861	0	0	0	0	0
mir125a-3p|chr1:60624527-60624569	35	78.99	116	124.56	115.53
mir15b-3p,rno-mir-15b-3p|chr2:184967089-184967138	20	202.88	94.99	86.89	102.88
mir_chr1_2879|chr1:143222830-143222889	1	4	2	7	3
mir_chr8_31411|chr8:104044142-104044207	0	0	1	3	0
mir_chr17_14088|chr17:73477338-73477395	26.1	293.49	94.51	147.3	120.51
mir690-3p|chr4:205742380-205742403	0	0	0.73	1.07	0.25
mir_chr7_28864|chr7:140636191-140636250	3	3	3	3	2
mir_chr19_15600|chr19:11503725-11503783	0	0	0	0	0
mir92a2-3p,mir92-2-3p|chrX:140167095-140167141	34.81	343.65	158.22	274.9	365.2
mir351-5p|chrX:152774512-152774552	1760.38	7237.82	3891.6	6721.17	2644
mir32-5p|chr5:78089077-78089117	465.99	1253.97	1523.91	713.96	1673.07
mir_chr6_27657|chr6:104803677-104803737	5.92	17.91	16.99	23.86	14.92
mir542-5p|chrX:153215168-153215210	20.67	72.32	71	65.33	49.68
mir_chr7_29602|chr7:117257443-117257500	0	0	1	2	1
mir_chr17_14096|chr17:73493404-73493461	119.39	227.74	224.92	286.82	271.71
mir138-3p,mir138-1-3p|chr8:130886817-130886866	0	0	0	7.99	0
rno-mir-6319-3p|chr17:38655207-38655270	0.99	3.95	4	5.5	2.96
mir_chr17_13663|chr17:12581941-12582006	79.97	127.95	220.77	207.71	95.88
mir431-3p|chr6:142873658-142873715	4	10	5	12.01	0
mir17-5p,mir17-1-5p,mir17-2-5p|chr15:103640901-103640943	1134.53	5087.2	3277.46	5264.28	2795.75
mir_chr7_28317|chr7:37859189-37859260	3	2	3	2.42	1
rno-mir-103-2-5p,mir103-1-5p,mir103-5p,mir103-2-5p|chr3:130329251-130329294	2.02	0	2.01	9.06	5.18
mir_chr7_29790|chr7:125576101-125576158	0	0	0	0	0
mir291a-3p|chr1:63524768-63524809	0.94	9.79	2.68	2.86	8.87
mir_chr10_5561|chr10:32125864-32125927	0	0	1	0	0
mir_chr4_23908|chr4:240772557-240772602	3	12.03	13.68	22.97	58.99
mir_chr3_20477|chr3:179800414-179800471	0	0	0	1	0.99
mir3592-5p,mir382-5p|chr6:143046575-143046633	0	7	2	3	1
mir29c-5p,mir3556b-5p|chr1:39612961-39613014	3517.81	14416.62	15652.17	12434.17	14667.41
mir_chr13_13454|chr13:57185385-57185444	0	4	1	1	1
mir_chr17_14108|chr17:73496964-73497021	119.39	227.74	224.92	286.82	271.71
rno-mir-1298-3p,mir1298-3p|chrX:118332482-118332551	1	6	0	3	2
mir690-3p|chr17:92249153-92249173	2	8	13.97	8	6
mir692-1-3p,mir692-2-3p,mir692-3-3p|chr13:93866494-93866541	0.17	2.27	3.5	1.67	1
mir320-3p,mir320a-3p|chr15:55857833-55857874	286.93	2616.7	889.22	5430.01	1147.95
mir_chr8_43710|chr8:65505896-65505973	45.22	106.2	143.5	168.11	184.61
mir7a-2-3p,mir7-1-3p,mir7-2-3p,mir7-3p,mir7b-3p,mir7a-1-3p|chr17:8879437-8879491	130.37	649.86	420.01	450.98	334.98
mir598-3p|chr15:50653574-50653614	88.96	145.38	179.27	132.1	124.88
mir_chr1_2813|chr1:133222272-133222348	0	0	0	0	0
mir29b-2-5p,mir29b-5p,mir29b2-5p|chr13:118329449-118329491	4	7.51	4.5	4.5	5
mir_chr2_25339|chr2:53827225-53827291	4.24	15.02	37.97	3.08	6.23
mir_chr2_16927|chr2:218839823-218839887	0	0	2	3	0
mir216b-5p,mir216c-5p|chr14:112790836-112790887	0	0	2	10	14
mir340-5p,rno-mir-340-5p|chr10:35339302-35339351	2159.21	6578.65	8527.33	12948.26	13345.17
mir_chr4_23602|chr4:210040240-210040301	0	0	0	0	1
mir149-3p|chr9:99682391-99682431	0	0	0	0	0
mir296-3p|chr3:178408786-178408825	0	4.98	5.16	2	1
mir19a-3p|chr15:103641227-103641271	1757.11	4613.19	5585.52	2346.67	4115.87
mir743-3p,mir743a-3p|chrX:151248067-151248105	0	0	3	0	0
mir3102-5p,rno-mir-3102-5p|chr1:172118749-172118817	0	2	1	9	3
mir_chr2_16293|chr2:89578642-89578729	2.58	17.77	16.91	9.89	10.8
mir_chr17_13649|chr17:11608751-11608809	0	0	0	0	1
mir539-3p,mir3576-3p|chr6:143040168-143040225	0	7	3	0	0.99
mir221-3p|chrX:4475349-4475403	1596.68	4667.56	3060.18	3902.78	2102.5
mir192-3p|chr1:228620126-228620181	359.04	1931.88	1015.57	1502.76	739.42
mir_chr16_12643|chr16:23039087-23039145	0	1.27	0.38	13.13	16.92
rno-mir-6321-5p,mir6321-5p|chr14:21007235-21007305	190	349.23	473.73	5	4.97
mir_chr8_30601|chr8:115654940-115655007	0	0	0	0	0
mir_chr15_11928|chr15:89714373-89714437	0	0	2.17	1	3
mir190a-3p,mir190-3p|chr8:77362793-77362842	19.5	41.5	43	37.02	72
mir33b-5p,mir33-5p|chr7:123415298-123415337	484.8	1471.71	1496.57	727.88	2284.69
mir_chr3_20544|chr3:8836826-8836885	0	6	1	6	2
mir1247-3p|chr6:143765240-143765281	4.99	51.91	16	14	16
mir350-3p|chr13:48922506-48922555	21.5	183	59	103	92.5
mir_chr18_15063|chr18:73079000-73079062	0	0.5	0	0	0.5
mir_chr6_27752|chr6:116009403-116009460	9.99	7	25	22	23
mir26b-5p|chr9:81439823-81439865	120018.54	300727.47	376598.19	354466.69	302841.24
mir_chr14_15810|chr14:79272308-79272367	0	1	0	1	0
rno-mir-6319-3p|chr17:36792195-36792258	0.99	3.95	4	5.5	2.96
mir_chr5_24846|chr5:160041688-160041756	1.93	1	1	1	4
mir_chr19_15232|chr19:36248072-36248134	2.96	5.99	0	2	3.93
mir_chr20_28048|chr20:16378723-16378814	29	94	71	27	61
mir_chr9_31692|chr9:8735276-8735352	4.83	4	16	10	14
rno-mir-6315-5p,mir6315-5p|chr1:228369479-228369529	15	19.99	16.97	69.98	30.99
mir133c-5p,mir133-5p,mir133-2-5p,mir133a-2-5p|chr3:181337076-181337128	0	0	3	0	0
mir_chr16_12155|chr16:19759055-19759121	0	0	0	0	0
mir_chr7_28209|chr7:13016627-13016719	1.99	0	5	0	0
mir_chr12_8329|chr12:33680687-33680737	0	0	0	0	0
mir451a-5p,mir451b-5p,mir451-5p|chr10:66340888-66340924	1	6	19.99	7	8.1
mir3596b-5p,mirlet7d-5p|chr17:18476143-18476193	11	5487	34	239.93	223.99
mir666-5p|chr6:143028693-143028742	1	1	0	0	0
mir_chr20_19168|chr20:32113978-32114038	0	1	0	1	0.95
mir935-3p|chr1:63322152-63322197	0	3	0	1	0
mir_chr1_621|chr1:96080425-96080496	1	0	1.88	2	1
mir_chr7_29839|chr7:134118791-134118850	1	1	0	0	0
mir3591-5p,mir122-5p|chr18:59956852-59956906	2487.3	51086.47	8730.36	8428.8	16153.38
mir_chr8_30862|chr8:22595393-22595463	0	0	0.99	1.98	0.95
mir99-1-5p,mir99-2-5p,mir99a-5p,mir99-5p|chr11:19707421-19707463	12019.27	29296.77	37786.31	41677.45	19839
mir3558-3p|chr6:20980760-20980817	60.99	176.04	174.27	324.86	214.93
mir_chr15_11130|chr15:50100891-50100953	0	2	0	2	2
mir703-5p|chr8:85388003-85388058	1.09	10	7.22	5.02	1.16
mir383-5p|chr16:57201647-57201684	1	17	0	11	0
mir124-3-3p,mir124-4-3p,mir124a-3-3p,mir124-6-3p|chr3:180116169-180116212	3.23	20.57	0.51	3.79	0.24
mir_chr6_26443|chr6:52427282-52427341	0	0	0	0	0
mir6540-5p|chr11:62814480-62814533	1	12	2	7	0
mir_chr10_6240|chr10:88585271-88585354	2	2	2	2	0
mir124-1-5p,mir124-5p,mir124-2-5p,mir124-3-5p,mir124a-2-5p|chr2:122049027-122049081	2	0	0	2.57	0
mir690-3p|chr7:133077692-133077715	0	0	0.73	1.07	0.25
mir_chr16_12327|chr16:58913863-58913948	0	0	3	1	2
mir142a-5p,mir142b-5p,mir142-5p|chr10:75051502-75051558	23866.66	95977.25	138912.01	92676.28	155413.21
mir_chr11_7466|chr11:90908870-90908952	0	0	1.2	1.34	0.79
mir200b-3p,mir200c-3p|chr5:176964165-176964213	11234.19	38947.41	25837.76	33052.17	15318.28
mir_chr10_4091|chr10:9903948-9904015	0	0	1	1	0
